아황산가스(SO2),일산화탄소(CO),오존(O3),이산화질소(NO2),초미세먼지(PM25),월,시간대
0.0023,1.35,0.0018,0.0412,22.0,1,1
0.0022,1.17,0.0017,0.0379,9.0,1,2
0.0024,1.31,0.0017,0.0376,25.0,1,3
0.0024,1.36,0.0016,0.0369,22.0,1,4
0.0024,1.15,0.0016,0.0335,15.0,1,5
0.0022,0.94,0.0014999999999999,0.031,13.0,1,6
0.0022,1.0,0.0014999999999999,0.0317,18.0,1,7
0.0023,1.1,0.0016,0.0333,17.0,1,8
0.0023,0.97,0.0023,0.0324,19.0,1,9
0.0023,0.92,0.0064,0.0281,17.0,1,10
0.0022,0.66,0.0158,0.0191,9.0,1,11
0.0023,0.55,0.0269,0.0119,11.0,1,12
0.0023,0.61,0.0244,0.016,12.0,1,13
0.0023,0.6,0.0264,0.017,20.0,1,14
0.0021,0.57,0.0276,0.017,15.0,1,15
0.0022,0.61,0.0208,0.0221,16.0,1,16
0.0021,0.59,0.0241,0.0204,15.0,1,17
0.0022,0.66,0.0237,0.0194,17.0,1,18
0.0026,0.71,0.0271,0.0185,13.0,1,19
0.0027,0.74,0.0182,0.0286999999999999,16.0,1,20
0.0025,0.69,0.0222,0.0237,16.0,1,21
0.0024,0.7,0.0251,0.0199,28.0,1,22
0.0025,0.74,0.018,0.0222,35.0,1,23
0.0025,0.73,0.0218,0.0188,36.0,1,0
0.0024,0.74,0.0223,0.0167,28.0,1,1
0.0025,0.77,0.0183,0.0184,39.0,1,2
0.0024,0.72,0.0247,0.0135,39.0,1,3
0.0022,0.67,0.0263,0.0128,39.0,1,4
0.0022,0.67,0.0228,0.0171,36.0,1,5
0.0022,0.72,0.016,0.0231,44.0,1,6
0.0022,0.71,0.0131,0.028,34.0,1,7
0.0021,0.67,0.0197,0.0225,38.0,1,8
0.0021,0.56,0.026,0.0167,26.0,1,9
0.0021,0.55,0.0258,0.0169,24.0,1,10
0.0022,0.51,0.0273,0.0154,22.0,1,11
0.0022,0.53,0.0253,0.017,25.0,1,13
0.0021,0.5,0.0256,0.0177,27.0,1,14
0.002,0.43,0.0313,0.0122,24.0,1,15
0.0021,0.44,0.0309,0.0128,18.0,1,16
0.0021,0.43,0.0327,0.0117,20.0,1,17
0.0021,0.47,0.0301,0.0147,15.0,1,18
0.0023,0.57,0.0148999999999999,0.03,22.0,1,19
0.0022,0.53,0.0173,0.0262,20.0,1,20
0.002,0.51,0.0212,0.0206,22.0,1,21
0.0022,0.57,0.0152,0.0273,20.0,1,22
0.0021,0.54,0.0167,0.0257,11.0,1,23
0.0021,0.53,0.0151,0.0267,21.0,1,0
0.002,0.5,0.0218,0.0195,16.0,1,1
0.0019,0.5,0.0211,0.0198,15.0,1,2
0.0019,0.49,0.0214,0.0187,18.0,1,3
0.002,0.53,0.0178,0.0227,17.0,1,4
0.002,0.59,0.006,0.035,22.0,1,5
0.0021,0.66,0.0016,0.0401,25.0,1,6
